"","UniqueID","Longitude","Latitude","Year"
"73","AD1_2002__Tonhasca 1  5",-41.876845,-21.991914,"1997"
"74","AD1_2002__Tonhasca 1  6",-41.889761,-21.986595,"1997"
"75","AD1_2002__Tonhasca 1  7",-41.803453,-21.962668,"1997"
"76","AD1_2002__Tonhasca 1  8",-41.706096,-21.891843,"1997"
"77","AD1_2002__Tonhasca 1  9",-41.737198,-21.884567,"1997"
"78","AD1_2002__Vazquez 1 1 1",-71.5347222222,-41.0455555556,"1999"
"79","AD1_2002__Vazquez 1 1 2",-71.5544444444,-41.0825,"1999"
"80","AD1_2002__Vazquez 1 2 3",-71.5125,-41.075,"1999"
"81","AD1_2002__Vazquez 1 2 4",-71.5175,-41.0988888889,"1999"
"82","AD1_2002__Vazquez 1 3 5",-71.5052777778,-41.3461111111,"1999"
"83","AD1_2002__Vazquez 1 3 6",-71.5066666667,-41.3480555556,"1999"
"84","AD1_2002__Vazquez 1 4 7",-71.6155555556,-40.8452777778,"1999"
"85","AD1_2002__Vazquez 1 4 8",-71.6194444444,-40.8527777778,"1999"
"86","AD1_2002__Vazquez 2 1 1",-71.5347222222,-41.0455555556,"1999"
"87","AD1_2002__Vazquez 2 1 2",-71.5544444444,-41.0825,"1999"
"88","AD1_2002__Vazquez 2 2 3",-71.5125,-41.075,"1999"
"89","AD1_2002__Vazquez 2 2 4",-71.5175,-41.0988888889,"1999"
"90","AD1_2002__Vazquez 2 3 5",-71.5052777778,-41.3461111111,"1999"
"91","AD1_2002__Vazquez 2 3 6",-71.5066666667,-41.3480555556,"1999"
"92","AD1_2002__Vazquez 2 4 7",-71.6155555556,-40.8452777778,"1999"
"93","AD1_2002__Vazquez 2 4 8",-71.6194444444,-40.8527777778,"1999"
"94","AD1_2004__Darvill 1  1",-1.537222,50.953333,"2001"
"95","AD1_2004__Darvill 1  2",-1.547421,50.956356,"2001"
"96","AD1_2004__Darvill 1  3",-1.554905,50.958809,"2001"
"97","AD1_2004__Darvill 1  4",-1.562689,50.961122,"2001"
"98","AD1_2004__Darvill 1  5",-1.571283,50.963722,"2001"
"99","AD1_2004__Darvill 1  6",-1.578334,50.966006,"2001"
"100","AD1_2004__Darvill 1  7",-1.585435,50.968215,"2001"
"101","AD1_2004__Darvill 1  8",-1.593048,50.970493,"2001"
"102","AD1_2004__Darvill 1  9",-1.600717,50.973455,"2001"
"103","AD1_2004__Darvill 1  10",-1.608446,50.975776,"2001"
"104","AD1_2004__Darvill 1  11",-1.61624,50.978697,"2001"
"105","AD1_2004__Darvill 1  12",-1.623728,50.982033,"2001"
"106","AD1_2004__Darvill 1  13",-1.631333,50.985605,"2001"
"107","AD1_2004__Darvill 1  14",-1.639307,50.989247,"2001"
"108","AD1_2004__Darvill 1  15",-1.646323,50.992476,"2001"
"109","AD1_2004__Darvill 1  16",-1.654001,50.995423,"2001"
"110","AD1_2004__Darvill 1  17",-1.660833,50.998611,"2001"
"111","AD1_2004__Quaranta 1  1",10.4639936027,43.3705969294,"2000"
"112","AD1_2004__Quaranta 1  2",10.4429253244,43.415805214,"2000"
"113","AD1_2005__Blanche 1  1",145.525277777778,-17.3127777777778,"2001"
"114","AD1_2005__Blanche 1  2",145.526944444444,-17.3086111111111,"2001"
"115","AD1_2005__Blanche 1  3",145.5525,-17.2047222222222,"2001"
"116","AD1_2005__Blanche 1  4",145.446388888889,-17.1902777777778,"2001"
"117","AD1_2005__Blanche 1  5",145.482777777778,-17.15,"2001"
"118","AD1_2005__Blanche 1  6",145.445555555556,-17.1005555555556,"2001"
"119","AD1_2005__Blanche 1  7",145.441388888889,-17.0352777777778,"2001"
"120","AD1_2005__Blanche 1  8",145.423888888889,-16.9011111111111,"2001"
"121","AD1_2005__Blanche 1  9",145.329166666667,-17.0286111111111,"2001"
"122","AD1_2005__Hanley 1  1",-1.4275,50.964167,"2004"
"123","AD1_2005__Hanley 1  2",-1.490059,50.84341,"2004"
"124","AD1_2005__Hanley 1  3",-1.708976,51.268592,"2004"
"125","AD1_2005__Hanley 1  4",-1.4275,50.964167,"2005"
"126","AD1_2005__Hanley 1  5",-1.490059,50.84341,"2005"
"127","AD1_2005__Hanley 1  6",-1.708976,51.268592,"2005"
"128","AD1_2005__Oertli 1  1",7.678774,46.318328,"2001"
"129","AD1_2005__Oertli 1  2",7.671231,46.327218,"2001"
"130","AD1_2005__Oertli 1  3",7.67412,46.318148,"2001"
"131","AD1_2005__Oertli 1  4",7.710055,46.33589,"2001"
"132","AD1_2005__Oertli 1  5",7.701907,46.3365,"2001"
"133","AD1_2005__Oertli 1  6",7.686683,46.32888,"2001"
"134","AD1_2005__Oertli 1  7",7.692834,46.332275,"2001"
"135","AD1_2005__Shuler 1  1",-77.868475,38.9573277778,"2003"
"136","AD1_2005__Shuler 1  2",-77.784025,38.8356194444,"2003"
"137","AD1_2005__Shuler 1  3",-77.6920027778,39.2282694444,"2003"
"138","AD1_2005__Shuler 1  4",-77.7215444444,39.1152055556,"2003"
"139","AD1_2005__Shuler 1  5",-77.2764083333,39.2789638889,"2003"
"140","AD1_2005__Shuler 1  6",-77.8182083333,39.0370444444,"2003"
"141","AD1_2005__Shuler 1  7",-77.6034861111,39.2896888889,"2003"
"142","AD1_2005__Shuler 1  8",-77.6947777778,39.2003083333,"2003"
"143","AD1_2005__Shuler 1  9",-77.7520472222,39.2960444444,"2003"
"144","AD1_2005__Shuler 1  10",-77.5736944444,39.2592583333,"2003"
"145","AD1_2005__Shuler 1  11",-78.1892277778,39.0471722222,"2003"
"146","AD1_2005__Shuler 1  12",-78.2480611111,39.0617888889,"2003"
"147","AD1_2005__Shuler 1  13",-77.4349888889,39.1920666667,"2003"
"148","AD1_2005__Shuler 1  14",-78.2546583333,39.0914416667,"2003"
"149","AD1_2005__Shuler 1  15",-78.2422444444,39.0089361111,"2003"
"150","AD1_2005__Shuler 1  16",-77.9397916667,38.8808472222,"2003"
"151","AD1_2005__Shuler 1  17",-78.138725,38.5297194444,"2003"
"152","AD1_2005__Shuler 1  18",-77.7537555556,39.2519527778,"2003"
"153","AD1_2005__Shuler 1  19",-78.322325,39.3114694444,"2003"
"154","AD1_2005__Shuler 1  20",-78.2657611111,38.9796027778,"2003"
"155","AD1_2005__Shuler 1  21",-78.2492722222,39.1149472222,"2003"
"156","AD1_2005__Shuler 1  22",-78.0935222222,38.6160416667,"2003"
"157","AD1_2005__Shuler 1  23",-77.9833777778,38.5955666667,"2003"
"158","AD1_2005__Shuler 1  24",-77.9253611111,39.2567805556,"2003"
"159","AD1_2005__Shuler 1  25",-78.0017333333,38.8026722222,"2003"
"160","AD1_2006__Blanche 1  1",145.318333333,-16.5791666667,"2005"
"161","AD1_2006__Blanche 1  2",145.330833333,-16.5752777778,"2005"
"162","AD1_2006__Blanche 1  3",145.524166667,-17.2722222222,"2005"
"163","AD1_2006__Blanche 1  4",145.500277778,-17.2686111111,"2005"
"164","AD1_2006__Blanche 1  5",145.483611111,-16.9966666667,"2005"
"165","AD1_2006__Blanche 1  6",145.349166667,-17.0027777778,"2005"
"166","AD1_2006__Blanche 2  1",145.507222222,-17.235,"2005"
"167","AD1_2006__Blanche 2  2",145.488333333,-17.3241666667,"2005"
"168","AD1_2006__Blanche 2  3",145.614722222,-17.3738888889,"2005"
"169","AD1_2006__Blanche 2  4",145.538333333,-17.0186111111,"2005"
"170","AD1_2006__Blanche 2  5",145.407222222,-17.1155555556,"2005"
"171","AD1_2006__Diekoetter 1  1",8.81802303666,50.8210196079,"2001"
